问题模块,问题标题,推荐回答,AI润色,附图,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
基础介绍,TWT Chat 是什么？,TWT Chat 是一个集 AI客服、在线工单、聊天、音视频通话与远程协助于一体的全渠道客户服务解决方案，简单易用，让小团队也能轻松服务客户。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你们是怎么收费的？,"我们的专业版是按照席位收费的，推荐您直接按年订阅，目前订阅费用$11.88/席位/年，价格非常划算。
您订阅专业版后我们会建专属服务群，由客服、运营、产品、技术给您提供专属服务。

（席位概念：需要在客服工作台接待访客的工作人员，订阅后可通过邮箱邀请加入）",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专业版和免费的区别是什么？,"1、核心差异在于自定义功能和 AI 拓展能力：比如隐藏平台标识、推荐回复、AI 机器人、双向实时翻译等等
2、您新建项目后会自动赠送 14 天的专业版体验权益，到期前您可以选择续费，到期后也可手动降级为免费版
3、目前平台在拓展期，价格非常优惠，年付仅$11.88/席位

详细功能对比可见定价页面：https://www.twt.com/chat/pricing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 天体验期到期后会怎样？,"您好，项目到期后您依旧可以正常使用，但需要您在控制台手动降级项目的订阅版本为免费版，免费版可永久享受 1 个席位的基础功能，您可根据实际业务进行选择。

免费版和专业版差异：https://www.twt.com/chat/pricing","您好，新项目创建后，系统将自动赠送 14 天专业版体验权益，可完整体验平台的高级功能。

体验期结束后，您可以自由选择：
一、续费专业版
继续使用 AI 能力及完整高级功能，提升服务效率与管理能力。
二、降级为免费版
如暂不续费，可手动降级为免费版继续使用。
免费版支持长期使用，但仅限 1 个坐席，部分功能将受到限制。

温馨推荐
目前产品处于特价优惠期，订阅专业版可享受更优惠价格，同时解锁 AI 与更多核心功能，性价比更高。
如需了解具体套餐或优惠方案，欢迎随时咨询，我们将为您提供专属支持。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如何注册/新建Chat项目？,"1、进入平台官网 https://www.twt.com
2、点击页面中间的【14天免费试用】或【登录/注册】按钮
3、进入控制台新建项目
4、点击跳转至客服工作台进行设置管理即可",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你们有客户端吗？,"您好，我们电脑端支持网页、PWA应用。
PWA是一种便捷的类似客户端的实现形式，您仅需一键添加，无需下载安装即可在电脑上完成 TWT Chat在电脑桌面新增入口，使用起来更加方便。
安装方式：使用【Google/Safari/火狐浏览器】进入客服工作台，地址栏右侧点击【安装】

原生客户端我们将在 6 月份正式上线，会提前发布通知",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你们有App吗？,"您好，我们支持网页端、PWA及手机App。
App 下载方式：
1、苹果手机：AppStore 直接搜索 TWT Chat 下载安装即可
2、支持Google服务手机：GooglePlay 直接搜索 TWT Chat 下载安装即可
3、其他安卓手机：访问官网下载地址进行即可
https://www.twt.com/zh-CN/chat/download",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI 是用的什么大模型？,目前采用的是OpenAI+QWen大模型组合，我们会根据市面上最新的大模型进行动态调整。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
功能使用,怎么修改项目的名称和头像？,"方式一
在控制台-项目管理，鼠标点击头像/名称即可修改。
访问地址：https://chat-console.twt.com

方式二
在客服工作台，设置-自定义-外观，修改 Logo及品牌名称即可。
访问地址：https://chat.twt.com/workspace/settings/install/custom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如何关闭/开启访客进入提醒或其他通知/收不到消息通知,"在客服工作台，左侧边栏-头像-通知设置-访客进入，开启或关闭即可

提示：如果依旧没有通知，需检查浏览器的权限，点击地址栏旁边的设置按钮，确认通知权限开启",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如何创建单聊/群聊？,"我们平台支持创建1v1 的单聊和建群沟通，但仅支持客服发起。

操作入口：
电脑端-会话-在线聊天旁边【+】-选择要发起单聊的访客或建群的访客及客服
手机端-会话-右上角【+】-选择要发起单聊的访客或建群的访客及客服",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
群聊是否有人数限制？,目前最大限制 100 人，可以满足绝大多数业务场景。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
是否支持语音通话、视频通话？,目前暂不支持音视频通话，但是可以发送图片、视频、音频、文件等资源。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识库如何使用？,"1、客服工作台-侧边栏-AI Agent-知识库，通过文档或者 QA 录入相关知识及问题
2、AI 会自动调用大模型进行训练学习，创建项目专属的知识框架
3、在 Copilot/Autopilot 中开启对应能力
4、访客发送消息后 AI 会自动从知识库中寻找对应回答，并生成对应回复
5、无论是推荐回复还是自动回复，都能大大提升接待效率和精准度",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
会话为什么无法自动分配？,"一、会话采用动态轮询分配，会自动分配给当前在线的客服
二、如果会话长时间无法分配可能存在的原因如下，请您对照解决
1、客服需要把自己设置为在线状态（在左下角头像处检查下是否设为了离开）
2、当前接待的未结束会话数达到上限（可手动结束会话，或调大客服接待上限）

补充：客服最大接待会话数默认为99，可在成员管理模块调整/可设置会话访客超级未回复自动结束，无需客服手动操作",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
